,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Thompson,40,CA,1561079017,22,55.74,-97.86,78.8,6.93
1,Hoi An,40,VN,1561079018,79,15.88,108.33,86.0,3.36
2,Svetlogorsk,40,RU,1561078721,67,53.14,59.15,59.0,4.47
3,Moose Factory,1,CA,1561079018,67,51.26,-80.61,57.2,8.05
4,Moses Lake,1,US,1561078979,24,47.13,-119.28,71.6,6.93
5,Hermanus,100,ZA,1561079019,36,-34.42,19.24,62.01,8.99
6,Magadi,20,IN,1561079019,94,12.96,77.22,69.8,8.05
7,Dakar,29,SN,1561079019,83,14.69,-17.45,75.2,8.05
8,New Norfolk,75,AU,1561079019,70,-42.78,147.06,48.99,9.17
9,Lompoc,1,US,1561078824,60,34.64,-120.46,69.8,12.75
10,Kargil,100,PK,1561079020,62,34.56,76.13,38.38,5.75
11,Atuona,0,PF,1561079020,76,-9.8,-139.03,81.4,17.22
12,Kahului,40,US,1561079020,51,20.89,-156.47,86.0,26.4
13,Souillac,0,FR,1561079021,77,45.6,-0.6,59.0,10.29
14,Bredasdorp,100,ZA,1561079021,75,-34.53,20.04,46.4,6.93
15,Itarema,17,BR,1561079021,89,-2.92,-39.92,74.74,5.59
16,Clyde River,90,CA,1561079021,92,70.47,-68.59,32.0,5.82
17,Vestmannaeyjar,86,IS,1561079022,68,63.44,-20.27,49.72,11.16
18,Bluff,0,AU,1561079022,42,-23.58,149.07,59.26,2.28
19,Ponta do Sol,0,BR,1561079022,74,-20.63,-46.0,61.6,2.98
20,Port Hawkesbury,75,CA,1561079022,76,45.62,-61.36,61.0,8.05
21,Fortuna,75,ES,1561079023,83,38.18,-1.13,71.6,5.82
22,Khatanga,100,RU,1561079023,51,71.98,102.47,47.56,12.1
23,Adrar,0,DZ,1561079023,7,27.87,-0.29,87.8,5.82
24,Dunedin,0,NZ,1561078857,73,-45.87,170.5,50.44,3.6
25,Jamestown,1,AU,1561079024,57,-33.21,138.6,48.82,6.29
26,Koidu,27,SL,1561079024,99,8.64,-10.97,71.5,3.22
27,Orlik,65,RU,1561079025,91,52.51,99.83,51.16,2.71
28,Hilo,1,US,1561079025,54,19.71,-155.08,84.2,10.29
29,Yurga,0,RU,1561079025,84,55.71,84.93,55.12,3.62
30,Punta Arenas,75,CL,1561079026,74,-53.16,-70.91,37.4,11.41
31,Praia da Vitoria,20,PT,1561079026,82,38.73,-27.07,66.2,5.59
32,Ribeira Grande,97,PT,1561079026,81,38.52,-28.7,66.28,14.34
33,Manakara,25,MG,1561079027,89,-22.14,48.01,64.48,1.32
34,Rikitea,99,PF,1561079027,76,-23.12,-134.97,73.3,26.15
35,Lagoa,0,PT,1561079027,68,37.14,-8.45,64.4,11.41
36,Ushuaia,0,AR,1561079028,74,-54.81,-68.31,33.8,5.82
37,Hithadhoo,97,MV,1561079028,69,-0.6,73.08,83.92,4.83
38,Oranjestad,20,AW,1561078833,78,12.52,-70.03,82.4,25.28
39,Port Alfred,40,ZA,1561079029,35,-33.59,26.89,66.99,7.0
40,Pevek,8,RU,1561079029,75,69.7,170.27,40.9,9.62
41,Qaanaaq,100,GL,1561079029,87,77.48,-69.36,30.28,0.72
42,Albany,75,US,1561078871,83,42.65,-73.75,73.4,6.93
43,Jiazi,0,CN,1561079030,79,19.61,110.49,86.0,8.95
44,Puerto Ayora,70,EC,1561079030,84,-0.74,-90.35,74.56,13.4
45,Margate,75,AU,1561079030,70,-43.03,147.26,48.99,9.17
46,Yellowknife,75,CA,1561079030,59,62.45,-114.38,60.8,16.11
47,Victoria,75,BN,1561078802,88,5.28,115.24,80.6,1.12
48,Hobart,75,AU,1561079031,70,-42.88,147.33,48.99,9.17
49,Coahuayana,8,MX,1561079032,57,18.62,-100.35,89.68,3.2
50,Kodiak,40,US,1561079032,32,39.95,-94.76,82.0,9.17
51,Camacha,20,PT,1561079032,77,33.08,-16.33,66.2,6.93
52,Kremasti,0,GR,1561079033,54,36.98,22.87,75.0,5.37
53,Vila Franca do Campo,75,PT,1561079033,94,37.72,-25.43,68.0,14.99
54,Acajutla,83,SV,1561079033,67,13.59,-89.83,87.34,2.53
55,Georgetown,40,GY,1561078827,78,6.8,-58.16,82.4,20.8
56,Severo-Kurilsk,100,RU,1561079034,97,50.68,156.12,44.5,2.26
57,Busselton,78,AU,1561079034,42,-33.64,115.35,59.0,16.6
58,Pisco,90,PE,1561079034,88,-13.71,-76.2,62.6,12.75
59,Smithers,90,CA,1561079035,48,54.78,-127.17,64.4,8.05
60,Mar del Plata,100,AR,1561079035,71,-46.43,-67.52,44.14,16.42
61,Buraydah,0,SA,1561079035,27,26.33,43.97,77.0,4.7
62,Bethel,75,US,1561079036,62,60.79,-161.76,57.2,4.7
63,Nativitas,75,MX,1561079036,49,19.23,-98.32,73.4,13.87
64,Hervey Bay,75,AU,1561079037,45,-25.3,152.85,66.2,11.41
65,Mahebourg,75,MU,1561078832,73,-20.41,57.7,73.0,16.11
66,Tasiilaq,0,GL,1561079037,100,65.61,-37.64,33.8,8.05
67,Nenjiang,1,CN,1561079037,55,49.17,125.23,69.16,5.77
68,Belfast,43,GB,1561079038,87,54.6,-5.93,48.2,5.82
69,Phan Thiet,100,VN,1561079038,88,10.93,108.1,78.52,3.31
70,Vuktyl,72,RU,1561079038,73,63.86,57.31,40.9,9.06
71,Viking,100,CA,1561079039,93,53.1,-111.78,54.94,9.84
72,Kapaa,1,US,1561078923,58,22.08,-159.32,86.0,12.75
73,Vestmanna,67,FO,1561079039,93,62.16,-7.17,46.4,8.05
74,Mataura,55,NZ,1561079039,74,-46.19,168.86,53.01,3.0
75,Balkhash,0,KZ,1561079039,24,46.84,74.98,70.96,8.9
76,Yangjiang,77,CN,1561079040,71,21.85,111.96,89.01,3.71
77,Kuryk,44,KZ,1561079040,23,43.18,51.68,84.46,11.83
78,Bambous Virieux,75,MU,1561079041,73,-20.34,57.76,73.0,16.11
79,Mehamn,5,NO,1561079041,81,71.03,27.85,39.46,7.56
80,Puri,35,ID,1561079041,81,-7.54,112.45,71.86,7.74
81,Guerrero Negro,0,MX,1561079042,86,27.97,-114.04,63.04,16.75
82,San Patricio,0,PY,1561079042,76,-26.98,-56.83,53.86,5.19
83,Nantucket,90,US,1561079042,93,41.28,-70.1,68.0,11.41
84,Tiksi,3,RU,1561079043,75,71.64,128.87,43.06,9.15
85,Talnakh,40,RU,1561079043,65,69.49,88.39,46.4,15.66
86,Vincennes,1,US,1561078907,64,38.68,-87.53,77.0,4.7
87,Inuvik,75,CA,1561078891,34,68.36,-133.71,64.4,3.36
88,Saint George,20,GR,1561079044,88,39.45,22.34,75.0,0.58
89,Sungaipenuh,100,ID,1561079044,93,-2.08,101.38,72.94,3.06
90,Senador Guiomard,0,BR,1561079044,83,-10.15,-67.74,77.0,6.93
